Timestamp,CZ,DE,SK,LT,UA,SE
25/04/2025 16:48,-1088.00,539.00,-497.00,13.00,-112.00,595.00
25/04/2025 16:48,-1096.00,528.00,-500.00,25.00,-108.00,595.00
25/04/2025 16:49,-1077.00,584.00,-457.00,27.00,-102.00,596.00
25/04/2025 16:49,-1077.00,586.00,-457.00,28.00,-94.00,595.00
25/04/2025 16:49,-1063.00,597.00,-457.00,27.00,-95.00,597.00
25/04/2025 16:49,-1058.00,624.00,-458.00,21.00,-108.00,597.00
25/04/2025 16:50,-1054.00,664.00,-455.00,0.00,-111.00,596.00
25/04/2025 16:50,-1056.00,645.00,-465.00,-15.00,-102.00,596.00
25/04/2025 16:50,-1052.00,624.00,-449.00,-17.00,-109.00,596.00
25/04/2025 16:50,-1049.00,612.00,-432.00,-15.00,-109.00,596.00
25/04/2025 16:51,-1039.00,569.00,-435.00,-31.00,-119.00,595.00
26/04/2025 16:58,-759.00,409.00,-755.00,-67.00,-310.00,-52.00
26/04/2025 16:58,-758.00,363.00,-766.00,-50.00,-308.00,0.00
26/04/2025 16:59,-738.00,316.00,-732.00,-38.00,-300.00,0.00
26/04/2025 16:59,-746.00,268.00,-760.00,-26.00,-297.00,0.00
26/04/2025 16:59,-711.00,290.00,-731.00,-37.00,-296.00,0.00
26/04/2025 16:59,-707.00,284.00,-701.00,-40.00,-292.00,0.00
26/04/2025 17:00,-691.00,312.00,-693.00,-25.00,-295.00,0.00
26/04/2025 17:00,-698.00,247.00,-690.00,4.00,-292.00,0.00
26/04/2025 17:00,-672.00,219.00,-695.00,32.00,-299.00,0.00
26/04/2025 17:00,-690.00,224.00,-687.00,42.00,-311.00,0.00
26/04/2025 17:01,-674.00,166.00,-707.00,55.00,-284.00,0.00
26/04/2025 17:01,-663.00,110.00,-670.00,96.00,-278.00,0.00
26/04/2025 17:01,-679.00,91.00,-671.00,177.00,-279.00,0.00
26/04/2025 17:01,-676.00,98.00,-675.00,231.00,-277.00,0.00
26/04/2025 17:02,-694.00,105.00,-689.00,266.00,-290.00,0.00
26/04/2025 17:02,-693.00,110.00,-696.00,279.00,-294.00,0.00
26/04/2025 17:02,-685.00,129.00,-688.00,270.00,-303.00,0.00
26/04/2025 17:02,-686.00,166.00,-694.00,270.00,-312.00,0.00
26/04/2025 17:03,-700.00,135.00,-702.00,278.00,-315.00,68.00
26/04/2025 17:03,-728.00,97.00,-702.00,281.00,-331.00,68.00
26/04/2025 17:03,-726.00,149.00,-777.00,276.00,-342.00,77.00
26/04/2025 17:03,-717.00,209.00,-758.00,264.00,-336.00,85.00
26/04/2025 17:04,-701.00,237.00,-770.00,255.00,-331.00,94.00
26/04/2025 17:04,-710.00,217.00,-749.00,253.00,-338.00,94.00
26/04/2025 17:04,-715.00,193.00,-769.00,275.00,-344.00,102.00
26/04/2025 17:04,-720.00,207.00,-738.00,282.00,-349.00,111.00
26/04/2025 17:05,-725.00,232.00,-768.00,280.00,-348.00,118.00
26/04/2025 17:05,-714.00,218.00,-757.00,282.00,-356.00,118.00
26/04/2025 17:05,-705.00,257.00,-771.00,285.00,-347.00,127.00
26/04/2025 17:05,-685.00,315.00,-740.00,277.00,-336.00,127.00
26/04/2025 17:06,-678.00,297.00,-703.00,258.00,-338.00,127.00
26/04/2025 17:06,-698.00,338.00,-738.00,259.00,-347.00,127.00
26/04/2025 17:06,-694.00,375.00,-727.00,243.00,-348.00,126.00
